epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4020.14,0.39257,0.25589,0.79811,0.99818,0.99847,0.99448,0.97622,0.24672,0.18994,0.75479,0.000700378,0.000700378,0.000700378
43,4115.46,0.39122,0.25542,0.7984,0.99813,0.99849,0.99445,0.97652,0.24701,0.18327,0.75495,0.000676802,0.000676802,0.000676802
44,4211.07,0.39095,0.25549,0.798,0.99843,0.99832,0.99449,0.97627,0.24663,0.18163,0.7552,0.000653226,0.000653226,0.000653226
45,4305.18,0.38688,0.25346,0.7979,0.99848,0.99828,0.99451,0.97678,0.24705,0.18609,0.75486,0.00062965,0.00062965,0.00062965
46,4399.01,0.38536,0.25103,0.79726,0.99812,0.99846,0.99449,0.97741,0.24419,0.18262,0.75435,0.000606074,0.000606074,0.000606074
47,4495.53,0.38084,0.25099,0.79713,0.9982,0.99836,0.99449,0.97796,0.23855,0.17929,0.75368,0.000582497,0.000582497,0.000582497
48,4590.99,0.37721,0.24798,0.79634,0.99826,0.99835,0.99453,0.9772,0.24537,0.17945,0.75487,0.000558921,0.000558921,0.000558921
49,4685.26,0.37113,0.2439,0.7957,0.99833,0.99831,0.99449,0.97789,0.24285,0.17913,0.75416,0.000535345,0.000535345,0.000535345
50,4779.8,0.36985,0.24402,0.79506,0.9983,0.99835,0.99451,0.97976,0.2346,0.1766,0.75327,0.000511769,0.000511769,0.000511769
51,4874.93,0.36883,0.24384,0.79509,0.99824,0.99838,0.99451,0.97906,0.23791,0.17705,0.75374,0.000488193,0.000488193,0.000488193
52,4969.27,0.36301,0.24016,0.79486,0.99827,0.99838,0.99448,0.98018,0.23362,0.17455,0.75309,0.000464617,0.000464617,0.000464617
53,5063.2,0.36178,0.2401,0.79394,0.99835,0.99841,0.99452,0.98114,0.22706,0.17416,0.7521,0.000441041,0.000441041,0.000441041
54,5158.85,0.3545,0.23802,0.79347,0.9983,0.99837,0.99457,0.98128,0.22756,0.17312,0.75187,0.000417464,0.000417464,0.000417464
55,5254.4,0.35474,0.23656,0.79338,0.99823,0.99838,0.99454,0.98128,0.22735,0.17241,0.7522,0.000393888,0.000393888,0.000393888
56,5348.72,0.35215,0.23627,0.79282,0.99812,0.99839,0.99455,0.9818,0.22574,0.17296,0.75186,0.000370312,0.000370312,0.000370312
57,5442.22,0.34729,0.23323,0.79292,0.99826,0.99836,0.99455,0.98209,0.22265,0.17188,0.75159,0.000346736,0.000346736,0.000346736
58,5537.44,0.34877,0.23402,0.7926,0.9982,0.99836,0.99454,0.98146,0.22699,0.17145,0.75225,0.00032316,0.00032316,0.00032316
59,5632.9,0.34369,0.2311,0.79202,0.9983,0.9984,0.99455,0.98206,0.22425,0.17025,0.75169,0.000299584,0.000299584,0.000299584
60,5726.95,0.33958,0.22967,0.79192,0.99831,0.99841,0.99457,0.98243,0.22332,0.17047,0.75151,0.000276008,0.000276008,0.000276008
61,5831.93,0.29202,0.20351,0.77973,0.99828,0.99843,0.99462,0.98193,0.226,0.17483,0.75195,0.000252431,0.000252431,0.000252431
62,5918.35,0.27895,0.19775,0.77795,0.9983,0.99843,0.99461,0.98325,0.21899,0.17211,0.75083,0.000228855,0.000228855,0.000228855
63,6003.99,0.27372,0.19429,0.77745,0.99824,0.99855,0.9946,0.98359,0.21698,0.16862,0.75072,0.000205279,0.000205279,0.000205279
64,6089.19,0.27064,0.19215,0.77702,0.99836,0.99846,0.9946,0.98442,0.21286,0.16555,0.75027,0.000181703,0.000181703,0.000181703
65,6173.09,0.26528,0.19098,0.77618,0.99838,0.99841,0.99459,0.98495,0.20858,0.16338,0.74968,0.000158127,0.000158127,0.000158127
66,6259.34,0.2606,0.18757,0.77568,0.99839,0.99845,0.9946,0.98521,0.20766,0.16192,0.74954,0.000134551,0.000134551,0.000134551
67,6344.19,0.25925,0.18672,0.77518,0.99843,0.99841,0.9946,0.98542,0.20711,0.16108,0.74953,0.000110975,0.000110975,0.000110975
68,6428.55,0.25472,0.18499,0.7754,0.99835,0.99852,0.9946,0.98555,0.2063,0.16029,0.74939,8.73984e-05,8.73984e-05,8.73984e-05
69,6512.43,0.25177,0.18379,0.77466,0.99826,0.99857,0.99459,0.98554,0.20672,0.15998,0.7496,6.38223e-05,6.38223e-05,6.38223e-05
70,6598.75,0.24767,0.18186,0.77459,0.99829,0.99853,0.9946,0.98576,0.20533,0.15964,0.74939,4.02461e-05,4.02461e-05,4.02461e-05
